Order_ID,Customer_ID,Sales,Quantity,Discount,Profit,Order_Date,Product_ID
EMEA-2022-152156,1017,261.96,2,0.0,41.9136,2022-11-09,1
EMEA-2022-152156,1017,731.94,3,0.0,219.582,2022-11-09,2
AMER-2022-138688,1056,14.62,2,0.0,6.8714,2022-06-13,2
EMEA-2021-108966,1031,957.5775,5,0.45,-383.031,2021-10-11,3
EMEA-2021-108966,1031,22.368,2,0.2,2.5164,2021-10-11,4
AMER-2020-115812,1065,48.86,7,0.0,14.1694,2020-06-09,5
AMER-2020-115812,1065,7.28,4,0.0,1.9656,2020-06-09,6
AMER-2020-115812,1065,907.152,6,0.2,90.7152,2020-06-09,7
AMER-2020-115812,1065,18.504,3,0.2,5.7825,2020-06-09,3
AMER-2020-115812,1065,114.9,5,0.0,34.47,2020-06-09,8
AMER-2020-115812,1065,1706.184,9,0.2,85.3092,2020-06-09,3
AMER-2020-115812,1065,911.424,4,0.2,68.3568,2020-06-09,7
EMEA-2023-114412,1062,15.552,3,0.2,5.4432,2023-04-16,9
AMER-2022-161389,1066,407.976,3,0.2,132.5922,2022-12-06,3
APJ-2021-118983,1074,68.81,5,0.8,-123.858,2021-11-22,8
APJ-2021-118983,1074,2.544,3,0.8,-3.816,2021-11-22,3
EMEA-2020-105893,1087,665.88,6,0.0,13.3176,2020-11-11,4
EMEA-2020-167164,1047,55.5,2,0.0,9.99,2020-05-13,4
AMER-2020-143336,1099,8.56,2,0.0,2.4824,2020-08-27,6
AMER-2020-143336,1099,213.48,3,0.2,16.011,2020-08-27,7
AMER-2020-143336,1099,22.72,4,0.2,7.384,2020-08-27,3
AMER-2022-137330,1048,19.46,7,0.0,5.0596,2022-12-10,6
AMER-2022-137330,1048,60.34,7,0.0,15.6884,2022-12-10,8
EMEA-2023-156909,1025,71.372,2,0.3,-1.0196,2023-07-17,2
EMEA-2021-106320,1063,1044.63,3,0.0,240.2649,2021-09-25,3
AMER-2022-121755,1043,11.648,2,0.2,4.2224,2022-01-16,3
AMER-2022-121755,1043,90.57,3,0.0,11.7741,2022-01-16,10
